type,features__type,features__geometry__type,x,y,features__geometry__coordinates__003,features__geometry__coordinates__004,features__properties__OBJECTID,features__properties__BLOCKNAME,Rotation1,total,Rotation2
,Feature,Point,475298.8992,5362357.216,0,-1.79769313486232E+308,140,VOLEFT,1.022103,4395,58.5622
,Feature,Point,475572.4533,5362375.207,0,-1.79769313486232E+308,141,VOL3NUM,1.556277818,0,89.1682
,Feature,Point,475923.6134,5362109.56,0,-1.79769313486232E+308,142,VOLEFT,5.683925829,1553,325.665
,Feature,Point,475986.9772,5362014.581,0,-1.79769313486232E+308,143,VOLRIGHT,5.691108062,1881,326.076
,Feature,Point,475914.1817,5362577.757,0,-1.79769313486232E+308,144,VOLEFT,0.13792287,1377,7.9024
,Feature,Point,476008.0087,5362543.472,0,-1.79769313486232E+308,145,VOLRIGHT,0.126497219,1259,7.24776
,Feature,Point,475773.2298,5362481.609,0,-1.79769313486232E+308,146,VOLRIGHT,1.526289194,1204,87.4499
,Feature,Point,475787.1496,5362655.502,0,-1.79769313486232E+308,147,VOLRIGHT,1.571024671,2155,90.0131
,Feature,Point,476171.7206,5363311.792,0,-1.79769313486232E+308,148,VOLRIGHT,1.54628581,3671,88.5956
,Feature,Point,476122.3161,5363225.373,0,-1.79769313486232E+308,149,VOLEFT,1.528051322,3627,87.5509
,Feature,Point,476104.8797,5363088.119,0,-1.79769313486232E+308,150,VOLEFT,0.008705335,2640,0.498779
,Feature,Point,476198.6021,5363043.82,0,-1.79769313486232E+308,151,VOLRIGHT,0.015887567,2219,0.910291
,Feature,Point,476015.2373,5363769.009,0,-1.79769313486232E+308,152,VOLEFT,0.008705335,6560,0.498779
,Feature,Point,476121.6233,5363729.092,0,-1.79769313486232E+308,153,VOLRIGHT,0.015887567,6587,0.910291
,Feature,Point,475770.1292,5364125.316,0,-1.79769313486232E+308,154,VOLRIGHT,1.580429227,113,90.5519
,Feature,Point,475936.5236,5364102.505,0,-1.79769313486232E+308,155,VOLRIGHT,1.580429227,165,90.5519
,Feature,Point,475938.561,5364475.002,0,-1.79769313486232E+308,156,VOLRIGHT,1.567773332,1319,89.8268
,Feature,Point,476056.2058,5364386.369,0,-1.79769313486232E+308,157,VOLEFT,0.274149965,7201,15.7076
,Feature,Point,476174.0328,5364363.151,0,-1.79769313486232E+308,158,VOLRIGHT,0.256262698,8480,14.6828
,Feature,Point,475728.085,5364927.282,0,-1.79769313486232E+308,159,VOLRIGHT,1.418850722,5579,81.2942
,Feature,Point,475666.7076,5364820.01,0,-1.79769313486232E+308,160,VOLEFT,1.413176043,5868,80.969
,Feature,Point,475760.7499,5364785.658,0,-1.79769313486232E+308,161,VOLEFT,6.205432531,454,355.545
,Feature,Point,475866.0294,5364823.204,0,-1.79769313486232E+308,162,VOLRIGHT,6.206144222,777,355.586
,Feature,Point,475217.6974,5365576.314,0,-1.79769313486232E+308,163,VOL4NUM,1.553326086,0,88.999
